text,suggestion1,score1,source1,suggestion2,score2,source2,suggestion3,score3,source3,need_review
HIV-1の高速な進化と遺伝的多様性を推進するメカニズムの一つはゲノムの組み換えである．HIV-1のサブタイプは主要なものだけで10種類以上あり，異なるサブタイプに感染した宿主内で遺伝子組み換えが起きると新しいサブタイプが生じる．例えば中国で蔓延しているCRF07_BCとCRF08_BCという二種類のサブタイプは，いずれも1990年代にサブタイプBとCの組み換えで生じた流行株である．HIV-1のように組み換えが問題となる病原体の進化史を調べる研究では，サンプル間の進化的距離を可視化する目的でNeighbor-Net（NN）法がよく使われるが，NN法のHIVの組み換え検出における性能を詳しく調べた研究はない．本発表では，NN法をHIV-1の複数のデータセットに適用した結果を報告する．NN法で組み換えイベントを正しく検出できる場合もあるが，NN法で構築できるのは平面的グラフの一種に限られるため，三種類以上のサブタイプが混ざり合う複雑な組み換えはNN法では正確に検出しきれないことが確認された．,工学・サイエンスコミュニケーション,0.567,seed,インタラクション,0.548,seed,可視化,0.535,seed,yes
"""近年、多くの企業や団体でサーベイ（アンケート）が定期的に取られるようになり、そのデータが組織運営に生かされるようになった。しかし、サーベイが構成員に与える時間的・精神的負荷も増えてきており、最小項目数（質問数）で最大情報を得られるサーベイの設計が望ましい。",工学・サイエンスコミュニケーション,0.589,seed,可視化,0.572,seed,感覚・知覚,0.551,seed,yes
"そこで本研究では、定期的に実施される、項目が固定されたサーベイに対して、隠れマルコフモデルと項目反応理論を用いて、サーベイで回答していない項目の回答の予測を試みた。その結果、項目数を削減しつつ、情報量の減少を最小化した項目削減設計が可能になる。また、この研究の中で、個人別の等化アルゴリズムの作成に成功したので、これも報告する。""",応用数理,0.655,seed,可視化,0.646,seed,機械学習,0.609,seed,yes
ソーシャルVRで利用されるアバターの「種別」について、その選択動機を明らかにするために定性アンケート調査を実施、分析した。アバターの種別には、ユーザーのアイデンティティに対する価値観や趣味嗜好・所属コミュニティなどが強く反映されることが判明した。,ソーシャルVR,0.696,seed,アバター,0.623,seed,可視化,0.572,seed,no
ソーシャルVRで利用されるアバターの「性別」について、その選択動機を明らかにするために定性アンケート調査を実施、分析した。物理男性が”女性型アバター”を選ぶ場合には比較的カジュアルな理由が目立ち、物理女性が”男性型アバター”を選ぶ場合には比較的深刻な理由が目立つなど、物理男女間での非対称性が見られた。,ソーシャルVR,0.652,seed,アバター,0.588,seed,可視化,0.559,seed,no
教育とテクノロジーを組み合わせた「エドテック」を活用することで、子どもの個性や学習意欲に合わせた効果的な個別教育ができる。特に、VRを活用したシリアスゲームは高い学習効果が期待されている。本研究では、新潟をテーマにした体験型のVRシリアスゲームを制作した。本ゲームでは、新潟に関する特産品を集めながらヒントを探し、クイズを解く必要がある。異なる難易度のクイズとヒントを用意することで、ユーザー間の新潟に関する知識量にばらつきがあっても、問題なく体験できる内容である。クイズに正解しなければゴールにたどり着くことができないため、ユーザーは遊びながら新潟について学ぶことが可能である。今後は、本ゲームの定量的評価を行い、VRのシリアスゲームで新潟について学ぶことの効果を検証する。,ソーシャルVR,0.584,seed,工学・サイエンスコミュニケーション,0.572,seed,感覚・知覚,0.533,seed,yes
3DCGの教育において，「総合的な探究の時間」の導入に伴い，創造的な学習活動が求められている中，効果的な共同学習環境の構築が課題となっている．本研究では，OpenUSDエコシステムを採用したNVIDIA Omniverseと生成AIを活用し，学習者と教育者が1対1でインタラクティブに3DCGを学習できる創造プロセス共有型学習手法を提案した．Blenderを用いた実装と，20代2名と10代2名の被験者による評価実験を行った結果，提案手法群では従来型学習群と比較してモデリング完成時間が約20%短縮され，理解度も向上した．また，生成AIによる質問拡張が初学者の学習支援に有効であることが示唆された．今後は，より大規模な被験者群での検証や長期的な学習効果の評価，他の3DCGソフトウェアへの適用など，提案手法の更なる改善と拡張が期待される．,工学・サイエンスコミュニケーション,0.539,seed,可視化,0.531,seed,感覚・知覚,0.522,seed,yes
夏休み科学VTuber相談室（主催：高遠頼）は科学・学術に関する質問に、参加表明した多数のVTuberが動画等を制作して回答する企画であり、発表者のなぎは昨年、本年について回答役の1人として参加している。質問について、関連する実験を行って回答する動画は、自由研究のヒントにもなり好適と考えられるが、従来その例は少なかった。そこで昨年の質問のうち2件について、共同発表者の水出博雄と、実験による回答を試みた。1件は冷水とお湯との粘度の相違に関連する質問、他の1件は首に巻く冷感グッズの仕組みについての質問で、それぞれ実験を行って回答動画を制作し公開した。ただし各動画では実験・解析の詳細には触れなかった。本発表では、各実験の詳細を解説して、科学コミュニケーションのための実験動画制作の要件を明らかにすることを試み、またバーチャルな学術企画における信頼性の担保について、企画参加で得た経験を元に考察する。,工学・サイエンスコミュニケーション,0.589,seed,可視化,0.509,seed,感覚・知覚,0.505,seed,no
VTuberと視聴者の交流として、メタバース空間上での一対一での対面イベントや、生放送でのコメントとコメントに対するリアクションが存在する。しかし前者は濃密なコミュニケーションが図れる代わりに一度に対話できる人数は少なく、逆に後者は視聴者のコメントの一方向的なコミュニケーションになりやすい。そこで本研究ではアバターを分身させリアルタイムモーションキャプチャしながらも身体動作の一部をプロシージャル制御し同時並列的に身体コミュニケーションを図れるシステムを構築した。,工学・サイエンスコミュニケーション,0.609,seed,可視化,0.577,seed,アバター,0.549,seed,no
本研究では、Unityの物理エンジンを利用し、歯車機構やリンク機構，振り子時計機構，4段変速機機構をVR環境で再現することで、機構学の教育ツールとしての可能性を探った。このプロジェクトはVRChatプラットフォーム上で実装され、学習者が直感的かつ没入的に機械の原理を学べる環境を提供している。VRによるリアルタイムでの機構動作の視覚化により、テキストや2D図面では理解しにくい複雑な機構を容易に理解でき、学習効果の向上が期待される。全ての要素はUnity物理エンジンに基づいて設計されているため、同じエンジンであれば高い互換性を持ち、他のプラットフォームでも同じ仕組みを展開できる。また、遠隔地からでも同一の学習環境を共有できるため、教育の機会均等に寄与する。本研究はVR技術を教育分野に応用する新たなモデルを提示し、教育手法の革新に貢献するものである。,ソーシャルVR,0.654,seed,工学・サイエンスコミュニケーション,0.524,seed,可視化,0.509,seed,no
VTuberのサイン・筆跡は，ファンにとって，そのVTuberの実在性を確かに感じられる人格徴表であり，かつ，顧客吸引力・パブリシティ価値を持つ財として，グッズ化され取引の対象にもなっている．本研究では，現在のVTuber界隈において，サイン・筆跡が価値あるものとして扱われる実情を観察に基づき整理・記述した．また，しばしば「中の人はいない」とも言われてきたVTuberに，「直筆」のサインが存在することが特に違和感なく受け入れられている現状を踏まえ，VTuberのサイン・筆跡の特殊な存在論を考察した．その上で，こうしたサイン・筆跡の持つ経済的価値を法的に保護する手段として，パブリシティ権の適用可能性を検討した．結果として，VTuberのサイン・筆跡は，その市場規模・潜在的価値に比し，いまだ法的保護について十分な検討がなされていない未開拓の領域であることも分かった．,工学・サイエンスコミュニケーション,0.584,seed,可視化,0.574,seed,ソーシャルVR,0.570,seed,yes
